emp_no,first_name,last_name,from_date,title
10001,Georgi,Facello,1986-06-26,Senior Engineer
10004,Chirstian,Koblick,1995-12-01,Senior Engineer
10009,Sumant,Peac,1995-02-18,Senior Engineer
10018,Kazuhide,Peha,1995-04-03,Senior Engineer
10035,Alain,Chappelet,1996-09-05,Senior Engineer
10053,Sanjiv,Zschoche,1994-11-13,Senior Staff
10058,Berhard,McFarlin,1988-04-25,Senior Staff
10066,Kwee,Schusler,1998-02-25,Senior Engineer
10067,Claudi,Stavenow,1996-03-03,Senior Engineer
10070,Reuven,Garigliano,1985-10-14,Technique Leader
10072,Hironoby,Sidou,1995-05-21,Senior Engineer
10076,Erez,Ritzmann,1996-07-15,Senior Engineer
10088,Jungsoon,Syrzycki,1993-09-02,Senior Staff
10100,Hironobu,Haraldson,1994-09-21,Senior Staff
10103,Akemi,Birch,1998-01-12,Engineer
10126,Kayoko,Valtorta,1991-09-08,Senior Staff
10129,Armond,Peir,1996-01-16,Technique Leader
10130,Nishit,Casperson,1988-06-21,Senior Engineer
10134,Diederik,Siprelle,1994-12-12,Senior Engineer
10138,Perry,Shimshoni,2001-03-03,Senior Engineer
10150,Zhenbing,Perng,1995-11-16,Senior Engineer
10153,Heekeun,Majewski,2000-01-08,Assistant Engineer
10157,Nigel,Aloisi,1997-12-10,Senior Engineer
10198,Pranav,Furedi,1993-08-31,Senior Engineer
10215,Xiaobin,Duclos,1991-11-23,Senior Staff
10224,Leon,Trogemann,1996-01-09,Senior Engineer
10233,Lein,Vendrig,2000-04-28,Senior Staff
10258,Basil,Ishibashi,1997-05-16,Senior Engineer
10272,Yishai,Cannane,1997-10-23,Staff
10282,Hercules,Benzmuller,2001-05-02,Engineer
10283,Kauko,Birjandi,1995-05-26,Senior Engineer
10326,Masali,Czap,1998-09-02,Staff
10340,Djelloul,Laventhal,1993-03-30,Senior Staff
10347,Pradeep,Kaminger,1998-02-20,Staff
10355,Satyanarayana,Cochrane,1996-01-26,Staff
10356,Vasilis,Standera,1995-06-26,Senior Staff
10364,Nakhoon,Dengi,1985-11-14,Senior Engineer
10372,Anneli,Frijda,1985-07-30,Technique Leader
10387,Parto,Wrigley,1999-01-07,Senior Staff
10396,Sibyl,Rahier,1986-01-11,Senior Engineer
10402,Volkmar,Ebeling,1987-01-02,Technique Leader
10404,Prodip,Rosti,1996-08-28,Senior Engineer
10426,Arunas,Luce,1985-07-06,Technique Leader
10429,Martien,Improta,1988-09-23,Senior Engineer
10432,Hisao,Tiemann,1996-08-12,Senior Staff
10451,Bodh,Ranta,1998-03-12,Senior Engineer
10453,Tsvetan,Matzel,1993-04-02,Senior Staff
10463,Ung,Zaiane,1994-02-17,Staff
10486,Amstein,Kossowski,1996-10-07,Senior Engineer
10494,Yakkov,Servieres,2000-12-17,Senior Engineer
10504,Xiong,Varker,1999-10-19,Staff
10512,Udi,Gihr,1998-11-28,Senior Staff
10522,Marke,Cesareni,1995-12-12,Senior Staff
10548,Ramalingam,Gunderson,1993-07-04,Senior Staff
10564,Jianhao,Thisen,2000-11-22,Senior Engineer
10623,Aleksander,Danlos,1999-01-15,Senior Engineer
10628,Krisda,Krogh,2001-03-14,Senior Engineer
10631,Inderjeet,Chaudhuri,1994-10-18,Engineer
10642,Hirochika,Narlikar,1998-10-05,Engineer
10653,Otmar,Feinberg,1987-04-30,Senior Engineer
10671,Parviz,Rebaine,2001-09-13,Senior Staff
10676,Valeri,Danley,1999-09-04,Engineer
10693,Berhard,Daescu,1991-01-08,Senior Staff
10702,Bader,Szemeredi,1991-01-14,Senior Engineer
10718,Adib,Rullman,1997-07-21,Senior Engineer
10726,Zita,Minakawa,2001-02-24,Senior Engineer
10734,Sachar,Erdi,1995-12-19,Engineer
10745,Poorav,Ranze,1997-01-22,Senior Engineer
10749,King,Brendel,1990-09-26,Senior Engineer
10767,Monique,Doering,1997-07-15,Staff
10768,Ishfaq,Candan,1990-07-04,Senior Engineer
10778,Selwyn,Merey,1986-07-04,Senior Staff
10791,Tadahiko,Sgarro,1995-07-31,Senior Engineer
10795,Supot,Naudin,1999-05-03,Senior Staff
10808,Chenxi,Leijenhorst,1987-03-07,Senior Engineer
10835,Tomoyuki,Kermarrec,1995-08-22,Engineer
10836,Jianhua,Leivant,1987-08-10,Senior Staff
10844,Dipayan,Koprowski,1997-04-25,Engineer
10847,Theirry,Danley,1992-07-24,Senior Staff
10848,Fen,Bratsberg,1992-04-20,Senior Engineer
10878,Lakshmi,Deville,1997-04-25,Staff
10879,Muzhong,Chleq,1985-08-15,Senior Engineer
10883,Shimshon,Champarnaud,1996-12-28,Engineer
10909,Georgi,Atchley,2000-12-26,Senior Engineer
10921,Mara,Bahi,1995-07-27,Senior Engineer
10924,Hironoby,Atchley,1997-08-14,Senior Staff
10927,Gal,Scallan,1993-09-12,Senior Staff
10936,Mountaz,Schicker,1996-05-08,Senior Staff
10943,Berna,Skafidas,1999-05-22,Senior Engineer
10965,Eckart,Braunschweig,1986-07-29,Senior Staff
10969,Premal,Noriega,1994-05-12,Senior Engineer
10974,Muneo,Papsdorf,1999-05-17,Senior Engineer
10986,Masako,Schiper,1985-10-11,Technique Leader
10988,Chinya,Deyuan,1985-06-19,Senior Engineer
10989,Sumali,Candan,1991-07-20,Senior Staff
10990,Shin,Foote,1990-08-06,Technique Leader
11009,Alper,Axelband,1993-09-09,Senior Staff
11012,Taegyun,Speckmann,1996-07-06,Staff
11019,Leon,Huttel,1997-05-24,Senior Engineer
11021,Srinidhi,Henders,1998-02-02,Staff
11027,Remzi,Cappello,1996-05-06,Senior Engineer
11031,Ottavia,Walstra,1993-10-24,Senior Staff
11037,Lansing,Maliniak,1995-01-28,Senior Engineer
11038,Jinya,Beidas,1992-07-15,Senior Staff
11042,Gou,Breugel,2000-06-21,Senior Engineer
11048,Jaques,Demke,1999-05-27,Senior Staff
11050,Elvis,Katiyar,1991-05-06,Senior Staff
11051,Przemyslawa,Erol,2000-03-26,Senior Engineer
11070,Adib,Raney,1991-07-24,Senior Engineer
11081,Barry,Boyle,1994-06-17,Senior Staff
11085,Hailing,Thummel,1996-02-10,Senior Engineer
11100,Berna,Cochrane,1993-10-13,Senior Staff
11106,Aris,Iwayama,1997-08-30,Senior Engineer
11112,Boaz,Mukaidono,1995-04-28,Staff
11113,Shahab,Peng,1991-11-30,Senior Staff
11121,Vugranam,Kakkad,1999-11-01,Senior Engineer
11133,Nalini,Azulay,1994-03-06,Technique Leader
11134,Sachar,Rajcani,2002-05-19,Senior Engineer
11137,Hugh,Luca,1995-03-16,Engineer
11139,Bogdan,Homond,1995-05-11,Senior Staff
11146,Ishfaq,Masand,1997-08-21,Senior Staff
11148,Zhanqiu,Botman,1997-02-08,Senior Staff
11162,Kauko,Narlikar,1990-03-28,Senior Engineer
11180,Mitsuyuki,Bojadziev,1992-06-10,Senior Engineer
11197,Tadahiro,Fordan,1989-09-12,Senior Staff
11204,Diederik,Covnot,1985-09-18,Technique Leader
11207,Saeed,Gips,1999-01-31,Engineer
11208,Saniya,Valtorta,1994-11-17,Technique Leader
11211,Yurij,Rissland,1985-09-17,Senior Engineer
11217,Kellie,Mawatari,1990-03-11,Senior Engineer
11232,Hidefumi,Crelier,2000-08-01,Senior Staff
11240,Kiam,Condotta,1997-01-06,Engineer
11249,Randi,Cyre,1994-09-22,Engineer
11251,Bezalel,Chinal,1993-06-15,Senior Staff
11268,Aimee,Petersohn,1995-10-25,Senior Engineer
